"","Method","Sequence","MSE"
"194","Quadratic-ALC",34,5.2871166206325
"195","Quadratic-ALC",35,5.27792153266149
"196","Quadratic-ALC",36,5.24369719036201
"197","Quadratic-ALC",37,5.23278369009376
"198","Quadratic-ALC",38,5.20889410126457
"199","Quadratic-ALC",39,5.19622162888577
"200","Quadratic-ALC",40,5.20835385733551
"201","Cubic-ALM",1,70133.6487936632
"202","Cubic-ALM",2,30.2967572577256
"203","Cubic-ALM",3,21.4489010692447
"204","Cubic-ALM",4,16.6352966070771
"205","Cubic-ALM",5,14.9124643002776
"206","Cubic-ALM",6,12.546712140296
"207","Cubic-ALM",7,10.2604542591731
"208","Cubic-ALM",8,8.96153971576223
"209","Cubic-ALM",9,8.4324624129612
"210","Cubic-ALM",10,7.56081687747056
"211","Cubic-ALM",11,6.87578132739356
"212","Cubic-ALM",12,6.33305850002018
"213","Cubic-ALM",13,6.06218551482257
"214","Cubic-ALM",14,5.72306235949726
"215","Cubic-ALM",15,5.37387624369798
"216","Cubic-ALM",16,5.1271355298297
"217","Cubic-ALM",17,5.04278358405782
"218","Cubic-ALM",18,4.75756041158873
"219","Cubic-ALM",19,4.53357978050054
"220","Cubic-ALM",20,4.38983649540483
"221","Cubic-ALM",21,4.32045732213697
"222","Cubic-ALM",22,4.21002211561538
"223","Cubic-ALM",23,4.1330944916095
"224","Cubic-ALM",24,4.01611302018413
"225","Cubic-ALM",25,3.96154959918437
"226","Cubic-ALM",26,3.88870035458381
"227","Cubic-ALM",27,3.79874041470228
"228","Cubic-ALM",28,3.74523821269879
"229","Cubic-ALM",29,3.70140187472044
"230","Cubic-ALM",30,3.65997601465699
"231","Cubic-ALM",31,3.58965273576165
"232","Cubic-ALM",32,3.56404663669232
"233","Cubic-ALM",33,3.54925134214012
"234","Cubic-ALM",34,3.50438554458283
"235","Cubic-ALM",35,3.47288508184433
"236","Cubic-ALM",36,3.44990453872906
"237","Cubic-ALM",37,3.41044378168919
"238","Cubic-ALM",38,3.38294862780232
"239","Cubic-ALM",39,3.37294899963013
"240","Cubic-ALM",40,3.35961937915043
"241","Cubic-ALC",1,40635.8631488392
"242","Cubic-ALC",2,145.360776302819
"243","Cubic-ALC",3,20.9372191455262
"244","Cubic-ALC",4,12.6898022617363
"245","Cubic-ALC",5,10.2143192956246
"246","Cubic-ALC",6,8.6872176313237
"247","Cubic-ALC",7,7.77840229844563
"248","Cubic-ALC",8,7.22655885251962
"249","Cubic-ALC",9,6.82820524823976
"250","Cubic-ALC",10,6.57047777723076
"251","Cubic-ALC",11,6.35752483404522
"252","Cubic-ALC",12,6.18817256277977
"253","Cubic-ALC",13,6.06960660080562
"254","Cubic-ALC",14,5.98554643669366
"255","Cubic-ALC",15,5.88585554420326
"256","Cubic-ALC",16,5.77866495101295
"257","Cubic-ALC",17,5.70424076737129
"258","Cubic-ALC",18,5.61221223325897
"259","Cubic-ALC",19,5.55769266871831
"260","Cubic-ALC",20,5.54043120787319
"261","Cubic-ALC",21,5.48823912508759
"262","Cubic-ALC",22,5.43414112171198
"263","Cubic-ALC",23,5.39664762517007
"264","Cubic-ALC",24,5.3618177519374
"265","Cubic-ALC",25,5.32155433790522
"266","Cubic-ALC",26,5.27895608136066
