"","Method","Sequence","MSE"
"284","Tree-UCB",4,3.95315456
"285","Tree-UCB",5,3.96867008
"286","Tree-UCB",6,3.91652096
"287","Tree-UCB",7,3.91943808
"288","Tree-UCB",8,3.88781056
"289","Tree-UCB",9,4.0550368
"290","Tree-UCB",10,3.8969376
"291","Tree-UCB",11,4.01991232
"292","Tree-UCB",12,4.08171712
"293","Tree-UCB",13,3.84184576
"294","Tree-UCB",14,3.93325184
"295","Tree-UCB",15,3.97375872
"296","Tree-UCB",16,3.97487552
"297","Tree-UCB",17,4.02753472
"298","Tree-UCB",18,3.94155776
"299","Tree-UCB",19,3.82768448
"300","Tree-UCB",20,4.01674432
"301","Tree-UCB",21,4.13865024
"302","Tree-UCB",22,4.08659328
"303","Tree-UCB",23,3.92632448
"304","Tree-UCB",24,3.92301184
"305","Tree-UCB",25,3.76628096
"306","Tree-UCB",26,3.70765952
"307","Tree-UCB",27,4.02867904
"308","Tree-UCB",28,4.21772544
"309","Tree-UCB",29,3.97205952
"310","Tree-UCB",30,3.82521664
"311","Tree-UCB",31,3.5847488
"312","Tree-UCB",32,3.81566528
"313","Tree-UCB",33,3.90380608
"314","Tree-UCB",34,3.8247072
"315","Tree-UCB",35,3.89337344
"316","Tree-UCB",36,3.92024128
"317","Tree-UCB",37,3.86218432
"318","Tree-UCB",38,3.8364352
"319","Tree-UCB",39,3.82542336
"320","Tree-UCB",40,3.76707648
"321","Tree-Thompson",1,3.96335424
"322","Tree-Thompson",2,3.76328064
"323","Tree-Thompson",3,3.72884608
"324","Tree-Thompson",4,4.10360832
"325","Tree-Thompson",5,4.0685248
"326","Tree-Thompson",6,4.22137472
"327","Tree-Thompson",7,4.04059776
"328","Tree-Thompson",8,4.06207552
"329","Tree-Thompson",9,4.14937024
"330","Tree-Thompson",10,4.03129344
"331","Tree-Thompson",11,4.0252896
"332","Tree-Thompson",12,4.07474496
"333","Tree-Thompson",13,4.03861504
"334","Tree-Thompson",14,3.74446848
"335","Tree-Thompson",15,4.26564672
"336","Tree-Thompson",16,3.9919392
"337","Tree-Thompson",17,3.89400384
"338","Tree-Thompson",18,4.00417408
"339","Tree-Thompson",19,3.95980672
"340","Tree-Thompson",20,3.81126528
"341","Tree-Thompson",21,4.04572352
"342","Tree-Thompson",22,3.9768256
"343","Tree-Thompson",23,4.11379904
"344","Tree-Thompson",24,4.03777408
"345","Tree-Thompson",25,3.79966272
"346","Tree-Thompson",26,4.08940608
"347","Tree-Thompson",27,3.80299136
"348","Tree-Thompson",28,3.85274688
"349","Tree-Thompson",29,4.14620992
"350","Tree-Thompson",30,4.02380416
"351","Tree-Thompson",31,3.84612864
"352","Tree-Thompson",32,3.79843456
"353","Tree-Thompson",33,3.98914624
"354","Tree-Thompson",34,3.76847104
"355","Tree-Thompson",35,3.8203968
"356","Tree-Thompson",36,3.74644672
"357","Tree-Thompson",37,3.78166784
"358","Tree-Thompson",38,3.49835264
"359","Tree-Thompson",39,3.72997824
"360","Tree-Thompson",40,3.90908608
"361","GP-UCB",1,3.95416448
"362","GP-UCB",2,3.56219712
"363","GP-UCB",3,3.50784128
"364","GP-UCB",4,3.39746304
"365","GP-UCB",5,3.36468224
"366","GP-UCB",6,3.25472
"367","GP-UCB",7,3.21297728
"368","GP-UCB",8,3.06294528
"369","GP-UCB",9,2.9834464
"370","GP-UCB",10,2.90895936
"371","GP-UCB",11,2.87068928
"372","GP-UCB",12,2.79842752
"373","GP-UCB",13,2.72811072
