,alpha,mu,weight
387,0.04,7.5062830484,0.91
388,0.04,7.5904210195,0.92
389,0.04,7.75311693947,0.93
390,0.04,8.01480984911,0.94
391,0.04,8.39045090377,0.95
392,0.04,8.88864540126,0.96
393,0.04,9.51161842625,0.97
394,0.04,10.2558331069,0.98
395,0.04,11.1130453512,0.99
396,0.05,16.7956364511,0.01
397,0.05,15.8479441315,0.02
398,0.05,14.9108313962,0.03
399,0.05,13.9835873713,0.04
400,0.05,13.0650124383,0.05
401,0.05,12.154316927,0.06
402,0.05,11.2520336181,0.07
403,0.05,10.3608542316,0.08
404,0.05,9.48629479051,0.09
405,0.05,8.63700775547,0.1
406,0.05,7.82442742224,0.11
407,0.05,7.06145795413,0.12
408,0.05,6.36034233777,0.13
409,0.05,5.73045637622,0.14
410,0.05,5.17687831402,0.15
411,0.05,4.70006397852,0.16
412,0.05,4.29639909922,0.17
413,0.05,3.95921898428,0.18
414,0.05,3.67998154614,0.19
415,0.05,3.44939932569,0.2
416,0.05,3.25836365832,0.21
417,0.05,3.09852959548,0.22
418,0.05,2.96261208832,0.23
419,0.05,2.84461549171,0.24
420,0.05,2.74012828941,0.25
421,0.05,2.64656459697,0.26
422,0.05,2.56304646316,0.27
423,0.05,2.48967374913,0.28
424,0.05,2.42625398421,0.29
425,0.05,2.37087216901,0.3
426,0.05,2.3188485356,0.31
427,0.05,2.26265782829,0.32
428,0.05,2.1932322618,0.33
429,0.05,2.10271107658,0.34
430,0.05,1.98778774996,0.35
431,0.05,1.85127934386,0.36
432,0.05,1.70065389444,0.37
433,0.05,1.54562631358,0.38
434,0.05,1.39610181802,0.39
435,0.05,1.26033139104,0.4
436,0.05,1.14353366828,0.41
437,0.05,1.04734416566,0.42
438,0.05,0.970197676045,0.43
439,0.05,0.908478112975,0.44
440,0.05,0.857967846157,0.45
441,0.05,0.814938583809,0.46
442,0.05,0.776658310056,0.47
443,0.05,0.741644771713,0.48
444,0.05,0.709451505862,0.49
445,0.05,0.679909707132,0.5
446,0.05,0.652182574963,0.51
447,0.05,0.624163241399,0.52
448,0.05,0.592799416037,0.53
449,0.05,0.55568817037,0.54
450,0.05,0.512596119109,0.55
451,0.05,0.465870298561,0.56
452,0.05,0.419752827338,0.57
453,0.05,0.379309477531,0.58
454,0.05,0.349433706545,0.59
455,0.05,0.334310947413,0.6
456,0.05,0.337528350666,0.61
457,0.05,0.362494977788,0.62
458,0.05,0.413110196097,0.63
459,0.05,0.494619763733,0.64
460,0.05,0.614133383492,0.65
461,0.05,0.780070542176,0.66
462,0.05,1.000460477,0.67
463,0.05,1.28109299947,0.68
464,0.05,1.62383779241,0.69
465,0.05,2.02555362413,0.7
466,0.05,2.47794888563,0.71
467,0.05,2.96830812748,0.72
468,0.05,3.48078997593,0.73
469,0.05,3.99804075591,0.74
470,0.05,4.50293924293,0.75
471,0.05,4.98028577635,0.76
472,0.05,5.41819930067,0.77
473,0.05,5.80895803617,0.78
474,0.05,6.14908907949,0.79
475,0.05,6.43869519668,0.8
476,0.05,6.68021337448,0.81
477,0.05,6.87693579844,0.82
478,0.05,7.03167787613,0.83
479,0.05,7.14596541848,0.84
480,0.05,7.22001527742,0.85
481,0.05,7.2536327704,0.86
482,0.05,7.24834066208,0.87
483,0.05,7.21067325439,0.88
484,0.05,7.15476084912,0.89
485,0.05,7.10264664773,0.9
486,0.05,7.08218290054,0.91
487,0.05,7.1233998571,0.92
488,0.05,7.25464501529,0.93
489,0.05,7.4994596984,0.94
490,0.05,7.87460137379,0.95
491,0.05,8.38923106009,0.96
492,0.05,9.04508068877,0.97
493,0.05,9.83732595699,0.98
494,0.05,10.755871847,0.99
495,0.06,20.2105526137,0.01
496,0.06,19.090393455,0.02
497,0.06,17.9665493388,0.03
498,0.06,16.8408559232,0.04
499,0.06,15.7151384726,0.05
500,0.06,14.5919403126,0.06
501,0.06,13.4752621841,0.07
502,0.06,12.3712067468,0.08
503,0.06,11.2884091892,0.09
504,0.06,10.2380864194,0.1
505,0.06,9.23350270456,0.11
506,0.06,8.28874137929,0.12
507,0.06,7.41695687416,0.13
508,0.06,6.62859787379,0.14
509,0.06,5.93014462084,0.15
510,0.06,5.32363311992,0.16
511,0.06,4.80689894403,0.17
512,0.06,4.37429647255,0.18
513,0.06,4.01764536453,0.19
514,0.06,3.72721357056,0.2
515,0.06,3.49259565664,0.21
516,0.06,3.30341020497,0.22
517,0.06,3.1498479472,0.23
518,0.06,3.02317689396,0.24
519,0.06,2.91625262019,0.25
520,0.06,2.82391402613,0.26
521,0.06,2.74298865153,0.27
522,0.06,2.67165006519,0.28
523,0.06,2.60814898106,0.29
524,0.06,2.54931388656,0.3
525,0.06,2.48943720844,0.31
526,0.06,2.4201599558,0.32
527,0.06,2.33181295091,0.33
528,0.06,2.21643692058,0.34
529,0.06,2.07203059848,0.35
530,0.06,1.90456162349,0.36
531,0.06,1.72480214436,0.37
532,0.06,1.54479502324,0.38
533,0.06,1.3755205711,0.39
534,0.06,1.2251625865,0.4
535,0.06,1.09833742979,0.41
536,0.06,0.996192705125,0.42
537,0.06,0.917090453397,0.43
538,0.06,0.857683853832,0.44
539,0.06,0.814028333561,0.45
540,0.06,0.782178984751,0.46
541,0.06,0.758271949406,0.47
542,0.06,0.738954755803,0.48
