"","Method","Sequence","MSE"
"207","Cubic-UCB",7,0.665
"208","Cubic-UCB",8,0.5257
"209","Cubic-UCB",9,0.679
"210","Cubic-UCB",10,0.518
"211","Cubic-UCB",11,0.5404
"212","Cubic-UCB",12,0.6188
"213","Cubic-UCB",13,0.5572
"214","Cubic-UCB",14,0.7
"215","Cubic-UCB",15,0.5271
"216","Cubic-UCB",16,0.5901
"217","Cubic-UCB",17,0.6041
"218","Cubic-UCB",18,0.5635
"219","Cubic-UCB",19,0.4718
"220","Cubic-UCB",20,0.4326
"221","Cubic-UCB",21,0.4592
"222","Cubic-UCB",22,0.5887
"223","Cubic-UCB",23,0.4599
"224","Cubic-UCB",24,0.4739
"225","Cubic-UCB",25,0.5215
"226","Cubic-UCB",26,0.4655
"227","Cubic-UCB",27,0.4543
"228","Cubic-UCB",28,0.4648
"229","Cubic-UCB",29,0.4375
"230","Cubic-UCB",30,0.4228
"231","Cubic-UCB",31,0.4697
"232","Cubic-UCB",32,0.4235
"233","Cubic-UCB",33,0.434
"234","Cubic-UCB",34,0.4557
"235","Cubic-UCB",35,0.4018
"236","Cubic-UCB",36,0.3927
"237","Cubic-UCB",37,0.3668
"238","Cubic-UCB",38,0.371
"239","Cubic-UCB",39,0.3647
"240","Cubic-UCB",40,0.3619
"241","Cubic-Thompson",1,3.7674
"242","Cubic-Thompson",2,3.0492
"243","Cubic-Thompson",3,2.2365
"244","Cubic-Thompson",4,2.0104
"245","Cubic-Thompson",5,1.6653
"246","Cubic-Thompson",6,1.2614
"247","Cubic-Thompson",7,1.1669
"248","Cubic-Thompson",8,1.015
"249","Cubic-Thompson",9,0.8295
"250","Cubic-Thompson",10,0.7483
"251","Cubic-Thompson",11,0.7336
"252","Cubic-Thompson",12,0.7336
"253","Cubic-Thompson",13,0.7994
"254","Cubic-Thompson",14,0.6923
"255","Cubic-Thompson",15,0.7343
"256","Cubic-Thompson",16,0.6797
"257","Cubic-Thompson",17,0.7658
"258","Cubic-Thompson",18,0.6916
"259","Cubic-Thompson",19,0.7504
"260","Cubic-Thompson",20,0.7217
"261","Cubic-Thompson",21,0.7392
"262","Cubic-Thompson",22,0.7098
"263","Cubic-Thompson",23,0.6713
"264","Cubic-Thompson",24,0.7266
"265","Cubic-Thompson",25,0.6643
"266","Cubic-Thompson",26,0.6244
"267","Cubic-Thompson",27,0.6202
"268","Cubic-Thompson",28,0.6076
"269","Cubic-Thompson",29,0.6132
"270","Cubic-Thompson",30,0.5922
"271","Cubic-Thompson",31,0.6272
"272","Cubic-Thompson",32,0.6062
"273","Cubic-Thompson",33,0.623
"274","Cubic-Thompson",34,0.5985
"275","Cubic-Thompson",35,0.6048
"276","Cubic-Thompson",36,0.6398
"277","Cubic-Thompson",37,0.6076
"278","Cubic-Thompson",38,0.602
"279","Cubic-Thompson",39,0.6195
"280","Cubic-Thompson",40,0.5852
"281","Tree-UCB",1,3.4265
"282","Tree-UCB",2,3.3404
"283","Tree-UCB",3,3.5091
"284","Tree-UCB",4,3.7394
"285","Tree-UCB",5,3.4888
"286","Tree-UCB",6,3.4517
"287","Tree-UCB",7,3.4062
"288","Tree-UCB",8,2.94
"289","Tree-UCB",9,3.8157
"290","Tree-UCB",10,3.563
"291","Tree-UCB",11,3.5091
"292","Tree-UCB",12,3.605
"293","Tree-UCB",13,3.7338
"294","Tree-UCB",14,3.4034
"295","Tree-UCB",15,3.6582
"296","Tree-UCB",16,3.689
"297","Tree-UCB",17,3.5119
"298","Tree-UCB",18,3.4867
"299","Tree-UCB",19,3.4524
"300","Tree-UCB",20,3.9214
"301","Tree-UCB",21,2.5529
"302","Tree-UCB",22,2.625
"303","Tree-UCB",23,2.912
"304","Tree-UCB",24,2.9904
"305","Tree-UCB",25,2.9015
"306","Tree-UCB",26,2.8812
"307","Tree-UCB",27,3.0205
"308","Tree-UCB",28,2.9498
"309","Tree-UCB",29,3.0401
"310","Tree-UCB",30,3.0464
"311","Tree-UCB",31,3.0471
"312","Tree-UCB",32,2.9904
"313","Tree-UCB",33,3.0534
"314","Tree-UCB",34,2.9225
"315","Tree-UCB",35,2.9071
"316","Tree-UCB",36,2.9148
"317","Tree-UCB",37,2.7041
"318","Tree-UCB",38,2.6404
"319","Tree-UCB",39,2.6439
"320","Tree-UCB",40,2.6614
"321","Tree-Thompson",1,3.5056
"322","Tree-Thompson",2,3.4006
"323","Tree-Thompson",3,3.7954
