"","Method","Sequence","MSE"
"203","Cubic-UCB",3,2.66501042875427
"204","Cubic-UCB",4,2.46944922800686
"205","Cubic-UCB",5,2.45998410641335
"206","Cubic-UCB",6,2.4243858571081
"207","Cubic-UCB",7,2.41651518269625
"208","Cubic-UCB",8,2.42787544589579
"209","Cubic-UCB",9,2.39224623541966
"210","Cubic-UCB",10,2.36948540158705
"211","Cubic-UCB",11,2.30158562711969
"212","Cubic-UCB",12,2.17807774688946
"213","Cubic-UCB",13,2.21236104230861
"214","Cubic-UCB",14,2.30413323994008
"215","Cubic-UCB",15,2.24619163501314
"216","Cubic-UCB",16,2.20807536042804
"217","Cubic-UCB",17,2.22663644003424
"218","Cubic-UCB",18,2.07299084689323
"219","Cubic-UCB",19,2.17104941984576
"220","Cubic-UCB",20,2.19533589087147
"221","Cubic-UCB",21,2.12528489909894
"222","Cubic-UCB",22,2.17862012294726
"223","Cubic-UCB",23,2.17074147646886
"224","Cubic-UCB",24,2.06062004517192
"225","Cubic-UCB",25,2.11925834829692
"226","Cubic-UCB",26,2.08709057695588
"227","Cubic-UCB",27,2.05103997574094
"228","Cubic-UCB",28,2.08080478043653
"229","Cubic-UCB",29,2.04072360167875
"230","Cubic-UCB",30,2.08058782396892
"231","Cubic-UCB",31,2.03375989098813
"232","Cubic-UCB",32,2.17781546135589
"233","Cubic-UCB",33,2.02492883432851
"234","Cubic-UCB",34,2.03546162932191
"235","Cubic-UCB",35,2.06508453253693
"236","Cubic-UCB",36,2.01984262870393
"237","Cubic-UCB",37,1.99565736695328
"238","Cubic-UCB",38,2.0139294389911
"239","Cubic-UCB",39,2.03810373316388
"240","Cubic-UCB",40,2.0079840880226
"241","Cubic-Thompson",1,2.76475663574451
"242","Cubic-Thompson",2,2.87674566983782
"243","Cubic-Thompson",3,2.8614973137927
"244","Cubic-Thompson",4,2.80237260757713
"245","Cubic-Thompson",5,2.68037147862005
"246","Cubic-Thompson",6,2.75009889248712
"247","Cubic-Thompson",7,2.77837779093238
"248","Cubic-Thompson",8,2.52760751751245
"249","Cubic-Thompson",9,2.57219355740679
"250","Cubic-Thompson",10,2.4727142344927
"251","Cubic-Thompson",11,2.5528227425412
"252","Cubic-Thompson",12,2.51242129814507
"253","Cubic-Thompson",13,2.49545212906469
"254","Cubic-Thompson",14,2.36060886245642
"255","Cubic-Thompson",15,2.35124581699493
"256","Cubic-Thompson",16,2.29481908965069
"257","Cubic-Thompson",17,2.29303952115393
"258","Cubic-Thompson",18,2.37811738736434
"259","Cubic-Thompson",19,2.2733416568793
"260","Cubic-Thompson",20,2.41965930158129
"261","Cubic-Thompson",21,2.25841833169513
"262","Cubic-Thompson",22,2.21517855923701
"263","Cubic-Thompson",23,2.29806173322421
"264","Cubic-Thompson",24,2.19369860735111
"265","Cubic-Thompson",25,2.27815869472083
"266","Cubic-Thompson",26,2.19081007409373
"267","Cubic-Thompson",27,2.24204449391529
"268","Cubic-Thompson",28,2.24942259321034
"269","Cubic-Thompson",29,2.17231985550853
"270","Cubic-Thompson",30,2.2129195985149
"271","Cubic-Thompson",31,2.17106588283704
"272","Cubic-Thompson",32,2.0729556687883
"273","Cubic-Thompson",33,2.15657895750674
"274","Cubic-Thompson",34,2.12770727943913
"275","Cubic-Thompson",35,2.10764797764139
"276","Cubic-Thompson",36,2.1701073132015
"277","Cubic-Thompson",37,2.070559372189
"278","Cubic-Thompson",38,2.10851372508857
"279","Cubic-Thompson",39,2.14744640167511
"280","Cubic-Thompson",40,2.07204500084054
"281","Tree-UCB",1,3.74894256571298
"282","Tree-UCB",2,3.63845741343191
"283","Tree-UCB",3,3.82083470961345
"284","Tree-UCB",4,3.43769990331158
"285","Tree-UCB",5,3.86923934990445
"286","Tree-UCB",6,4.11493347009298
"287","Tree-UCB",7,4.02319433324955
"288","Tree-UCB",8,3.92533469994406
"289","Tree-UCB",9,3.78103568342736
"290","Tree-UCB",10,3.98564959521095
"291","Tree-UCB",11,3.71091824751868
"292","Tree-UCB",12,3.57272409014208
"293","Tree-UCB",13,3.66274854173603
"294","Tree-UCB",14,3.52246088542628
"295","Tree-UCB",15,3.3742011070449
"296","Tree-UCB",16,3.83987212806691
"297","Tree-UCB",17,3.94206313712371
"298","Tree-UCB",18,4.02124591152193
"299","Tree-UCB",19,3.68232555971567
