"","Method","Sequence","MSE"
"230","Cubic-ALM",30,8.39438877199512
"231","Cubic-ALM",31,8.42434349016034
"232","Cubic-ALM",32,8.44832924229317
"233","Cubic-ALM",33,8.4777707458377
"234","Cubic-ALM",34,8.51671423427311
"235","Cubic-ALM",35,8.5423637039241
"236","Cubic-ALM",36,8.57060692156478
"237","Cubic-ALM",37,8.59875809272757
"238","Cubic-ALM",38,8.59845113269928
"239","Cubic-ALM",39,8.62545210872856
"240","Cubic-ALM",40,8.64878100952203
"241","Cubic-ALC",1,864759.143878017
"242","Cubic-ALC",2,226.635708129716
"243","Cubic-ALC",3,23.9261794931702
"244","Cubic-ALC",4,19.9156344018614
"245","Cubic-ALC",5,16.2317878860291
"246","Cubic-ALC",6,14.5801595197983
"247","Cubic-ALC",7,13.779287419574
"248","Cubic-ALC",8,13.2781201258706
"249","Cubic-ALC",9,12.9184458228662
"250","Cubic-ALC",10,12.5279546640365
"251","Cubic-ALC",11,12.4307313028492
"252","Cubic-ALC",12,12.3569570504196
"253","Cubic-ALC",13,12.2036348923733
"254","Cubic-ALC",14,12.015649447303
"255","Cubic-ALC",15,11.8758598221551
"256","Cubic-ALC",16,11.8301597985809
"257","Cubic-ALC",17,11.7592042438782
"258","Cubic-ALC",18,11.7122599145872
"259","Cubic-ALC",19,11.6015280366066
"260","Cubic-ALC",20,11.5561580583159
"261","Cubic-ALC",21,11.5636153150842
"262","Cubic-ALC",22,11.5006629152355
"263","Cubic-ALC",23,11.4700977609065
"264","Cubic-ALC",24,11.4093211676154
"265","Cubic-ALC",25,11.3385467941038
"266","Cubic-ALC",26,11.3215530187767
"267","Cubic-ALC",27,11.2831462061103
"268","Cubic-ALC",28,11.2674760203706
"269","Cubic-ALC",29,11.2572652471918
"270","Cubic-ALC",30,11.2331460318036
"271","Cubic-ALC",31,11.1917136680637
"272","Cubic-ALC",32,11.1230859431297
"273","Cubic-ALC",33,11.1100078131547
"274","Cubic-ALC",34,10.9744533947583
"275","Cubic-ALC",35,10.9600443748731
"276","Cubic-ALC",36,10.9480086002234
"277","Cubic-ALC",37,10.9249675317567
"278","Cubic-ALC",38,10.8914209982744
"279","Cubic-ALC",39,10.8630168704334
"280","Cubic-ALC",40,10.8071869571977
"281","Tree-ALM",1,30.3564269212378
"282","Tree-ALM",2,17.922836065894
"283","Tree-ALM",3,14.1968603871172
"284","Tree-ALM",4,11.7048866431807
"285","Tree-ALM",5,10.209852358741
"286","Tree-ALM",6,9.48209114002695
"287","Tree-ALM",7,9.16354794134863
"288","Tree-ALM",8,8.68275852720141
"289","Tree-ALM",9,8.35484683574568
"290","Tree-ALM",10,8.22651105719191
"291","Tree-ALM",11,8.14897787937638
"292","Tree-ALM",12,8.01820733625767
"293","Tree-ALM",13,7.85971495087612
"294","Tree-ALM",14,7.76965381057118
"295","Tree-ALM",15,7.74484586679702
"296","Tree-ALM",16,7.72761769424122
"297","Tree-ALM",17,7.71269094726097
"298","Tree-ALM",18,7.66531659658182
"299","Tree-ALM",19,7.57387742955144
"300","Tree-ALM",20,7.53799385045208
"301","Tree-ALM",21,7.3537745056527
"302","Tree-ALM",22,7.22237447899369
"303","Tree-ALM",23,6.97247328376488
"304","Tree-ALM",24,6.72874143874321
"305","Tree-ALM",25,6.39518832583182
"306","Tree-ALM",26,6.26929902342496
"307","Tree-ALM",27,6.11851997183921
"308","Tree-ALM",28,5.93654682498834
"309","Tree-ALM",29,5.82971063085979
"310","Tree-ALM",30,5.67383012743583
"311","Tree-ALM",31,5.5809104684583
"312","Tree-ALM",32,5.45959040175283
"313","Tree-ALM",33,5.40665699716481
"314","Tree-ALM",34,5.34767370487801
"315","Tree-ALM",35,5.30392918983675
"316","Tree-ALM",36,5.2423272558723
"317","Tree-ALM",37,5.16497812807956
"318","Tree-ALM",38,5.17807320464874
"319","Tree-ALM",39,5.12810240953299
"320","Tree-ALM",40,5.12124671961901
"321","Tree-ALC",1,30.4093117899799
"322","Tree-ALC",2,18.7493202879955
"323","Tree-ALC",3,14.1100344962148
"324","Tree-ALC",4,11.4801806136762
"325","Tree-ALC",5,10.5709677766085
"326","Tree-ALC",6,9.68137145037062
"327","Tree-ALC",7,9.28928200828578
"328","Tree-ALC",8,8.78957343005469
"329","Tree-ALC",9,8.55691359181358
"330","Tree-ALC",10,8.34303631688292
"331","Tree-ALC",11,8.16975527141154
"332","Tree-ALC",12,7.95211189020216
"333","Tree-ALC",13,7.9181369682676
"334","Tree-ALC",14,7.88825543492292
"335","Tree-ALC",15,7.75941269533043
"336","Tree-ALC",16,7.6823957241258
"337","Tree-ALC",17,7.64909288542992
"338","Tree-ALC",18,7.61770298820523
"339","Tree-ALC",19,7.54564225230489
"340","Tree-ALC",20,7.52190118395283
"341","Tree-ALC",21,7.38637163156147
"342","Tree-ALC",22,7.28720345981468
"343","Tree-ALC",23,7.09406350601245
"344","Tree-ALC",24,6.83873179197544
"345","Tree-ALC",25,6.60574329924916
"346","Tree-ALC",26,6.55809107951072
"347","Tree-ALC",27,6.34770749229511
"348","Tree-ALC",28,6.113828580171
"349","Tree-ALC",29,5.96161193264853
"350","Tree-ALC",30,5.78595404715294
"351","Tree-ALC",31,5.71915894441399
"352","Tree-ALC",32,5.4112245693444
"353","Tree-ALC",33,5.10557441254582
"354","Tree-ALC",34,4.90997721720985
"355","Tree-ALC",35,4.81094918577771
"356","Tree-ALC",36,4.67253576175172
"357","Tree-ALC",37,4.31821475979767
"358","Tree-ALC",38,4.2480278333067
"359","Tree-ALC",39,4.21450047507555
"360","Tree-ALC",40,4.12578464890239
"361","GP-ALM",1,30.3888308913291
"362","GP-ALM",2,25.1535583591191
"363","GP-ALM",3,20.6660921838776
"364","GP-ALM",4,17.0032882046069
"365","GP-ALM",5,13.2891466873751
"366","GP-ALM",6,10.5745571996499
"367","GP-ALM",7,8.80982784210632
"368","GP-ALM",8,6.98682334798488
"369","GP-ALM",9,5.73981093751702
