"","Method","Sequence","MSE"
"230","Cubic-UCB",30,1.450893
"231","Cubic-UCB",31,1.453807
"232","Cubic-UCB",32,1.496246
"233","Cubic-UCB",33,1.45731
"234","Cubic-UCB",34,1.464533
"235","Cubic-UCB",35,1.39655
"236","Cubic-UCB",36,1.449064
"237","Cubic-UCB",37,1.361675
"238","Cubic-UCB",38,1.415708
"239","Cubic-UCB",39,1.353584
"240","Cubic-UCB",40,1.36214
"241","Cubic-Thompson",1,5.656942
"242","Cubic-Thompson",2,4.525318
"243","Cubic-Thompson",3,3.470698
"244","Cubic-Thompson",4,2.970885
"245","Cubic-Thompson",5,2.468189
"246","Cubic-Thompson",6,2.278593
"247","Cubic-Thompson",7,2.171023
"248","Cubic-Thompson",8,2.197094
"249","Cubic-Thompson",9,1.706395
"250","Cubic-Thompson",10,1.749981
"251","Cubic-Thompson",11,1.55093
"252","Cubic-Thompson",12,1.681378
"253","Cubic-Thompson",13,1.468935
"254","Cubic-Thompson",14,1.52675
"255","Cubic-Thompson",15,1.436633
"256","Cubic-Thompson",16,1.406904
"257","Cubic-Thompson",17,1.386909
"258","Cubic-Thompson",18,1.197685
"259","Cubic-Thompson",19,1.273108
"260","Cubic-Thompson",20,1.314214
"261","Cubic-Thompson",21,1.179023
"262","Cubic-Thompson",22,1.262568
"263","Cubic-Thompson",23,1.247657
"264","Cubic-Thompson",24,1.283431
"265","Cubic-Thompson",25,1.249052
"266","Cubic-Thompson",26,1.243069
"267","Cubic-Thompson",27,1.081838
"268","Cubic-Thompson",28,1.232839
"269","Cubic-Thompson",29,1.118976
"270","Cubic-Thompson",30,1.263529
"271","Cubic-Thompson",31,1.139808
"272","Cubic-Thompson",32,1.146101
"273","Cubic-Thompson",33,1.11197
"274","Cubic-Thompson",34,1.122975
"275","Cubic-Thompson",35,1.101771
"276","Cubic-Thompson",36,1.128524
"277","Cubic-Thompson",37,1.105429
"278","Cubic-Thompson",38,1.056635
"279","Cubic-Thompson",39,1.071639
"280","Cubic-Thompson",40,1.073096
"281","Tree-UCB",1,2.949154
"282","Tree-UCB",2,2.620027
"283","Tree-UCB",3,2.51317
"284","Tree-UCB",4,2.588965
"285","Tree-UCB",5,2.615873
"286","Tree-UCB",6,2.352435
"287","Tree-UCB",7,2.345336
"288","Tree-UCB",8,2.839662
"289","Tree-UCB",9,2.204968
"290","Tree-UCB",10,2.463973
