"","Method","Sequence","MSE"
"348","Tree-ALC",28,2.02942292633647
"349","Tree-ALC",29,2.00102741163677
"350","Tree-ALC",30,1.97200989544064
"351","Tree-ALC",31,1.97708018836561
"352","Tree-ALC",32,1.92846414849467
"353","Tree-ALC",33,1.91192088308987
"354","Tree-ALC",34,1.88985664375895
"355","Tree-ALC",35,1.8667549345601
"356","Tree-ALC",36,1.85195482082647
"357","Tree-ALC",37,1.83036386334644
"358","Tree-ALC",38,1.82092469487657
"359","Tree-ALC",39,1.79415498390082
"360","Tree-ALC",40,1.77132162266798
"361","GP-ALM",1,26.8647408805513
"362","GP-ALM",2,22.15348644517
"363","GP-ALM",3,18.1421292718246
"364","GP-ALM",4,14.2526359491147
"365","GP-ALM",5,11.0304501609038
"366","GP-ALM",6,8.08608572248558
"367","GP-ALM",7,6.31898107917004
"368","GP-ALM",8,4.94493069559164
"369","GP-ALM",9,4.23116276546188
"370","GP-ALM",10,3.62874605296492
"371","GP-ALM",11,3.22904617497295
"372","GP-ALM",12,2.8526193978354
"373","GP-ALM",13,2.57152888787008
"374","GP-ALM",14,2.30522943484845
"375","GP-ALM",15,2.02723666542871
"376","GP-ALM",16,1.86042907185248
"377","GP-ALM",17,1.69429781692316
"378","GP-ALM",18,1.54382683432634
"379","GP-ALM",19,1.40742863738543
"380","GP-ALM",20,1.28585241847918
"381","GP-ALM",21,1.18758364017985
"382","GP-ALM",22,1.12248165046221
"383","GP-ALM",23,1.0593995140487
"384","GP-ALM",24,0.983819063674925
"385","GP-ALM",25,0.912790510896413
"386","GP-ALM",26,0.863528530482697
"387","GP-ALM",27,0.824163799976819
"388","GP-ALM",28,0.779235144761013
"389","GP-ALM",29,0.738232003329996
"390","GP-ALM",30,0.695032813766946
"391","GP-ALM",31,0.66255140110087
"392","GP-ALM",32,0.630244424453026
"393","GP-ALM",33,0.602259115167733
"394","GP-ALM",34,0.572626566950096
"395","GP-ALM",35,0.550468749492026
"396","GP-ALM",36,0.524742607952886
"397","GP-ALM",37,0.50721255430619
"398","GP-ALM",38,0.482870193167354
"399","GP-ALM",39,0.467763496526054
"400","GP-ALM",40,0.452407327429366
"401","GP-ALC",1,269.61951134468
"402","GP-ALC",2,46.4937707979328
"403","GP-ALC",3,13.0796416649576
"404","GP-ALC",4,9.01485023062384
"405","GP-ALC",5,7.48969215335765
"406","GP-ALC",6,6.43664886342253
"407","GP-ALC",7,5.45535346263728
"408","GP-ALC",8,5.09278111853172
"409","GP-ALC",9,4.7683185424002
"410","GP-ALC",10,4.50343367820881
"411","GP-ALC",11,4.47544880201425
"412","GP-ALC",12,4.38618983734055
"413","GP-ALC",13,4.24986786661162
"414","GP-ALC",14,3.98132798305056
"415","GP-ALC",15,3.96658301538334
"416","GP-ALC",16,3.73433510395012
"417","GP-ALC",17,3.63399108195484
"418","GP-ALC",18,3.5236176281609
"419","GP-ALC",19,3.5380640064879
"420","GP-ALC",20,3.43942343985782
"421","GP-ALC",21,3.26340951885393
"422","GP-ALC",22,3.17916202270315
"423","GP-ALC",23,3.15968363962672
"424","GP-ALC",24,3.05572210941035
"425","GP-ALC",25,3.05140747025441
"426","GP-ALC",26,3.01794402108617
"427","GP-ALC",27,2.94731598511815
"428","GP-ALC",28,2.89825593193252
"429","GP-ALC",29,2.77363867828411
"430","GP-ALC",30,2.79102784543173
"431","GP-ALC",31,2.84582438940769
"432","GP-ALC",32,2.74631162983065
"433","GP-ALC",33,2.7363301821794
"434","GP-ALC",34,2.73054089610674
"435","GP-ALC",35,2.68681488354454
"436","GP-ALC",36,2.63459804873658
"437","GP-ALC",37,2.67780408447125
"438","GP-ALC",38,2.63202553045538
"439","GP-ALC",39,2.55629069746893
"440","GP-ALC",40,2.64027148912062
